Trade #,Type,Entry date,Entry time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %,,,,
1,Exit short,07-02-2022 04:30,04:30,Opposite Candle Close,1810,1,1800,-10,-0.56,0,0,-10,-0.56,-10,0,,,,
1,Entry short,04-02-2022 18:30,18:30,SELL,1800,1,1800,-10,-0.56,0,0,-10,-0.56,-10,0,,,,
2,Exit long,15-02-2022 13:30,13:30,Opposite Candle Close,1865,1,1835,30,1.63,40,2.18,0,0,20,0,,,,
2,Entry long,11-02-2022 20:30,20:30,BUY,1835,1,1835,30,1.63,40,2.18,0,0,20,0,,,,
3,Exit long,18-02-2022 15:30,15:30,Opposite Candle Close,1890,1,1860,30,1.61,40,2.15,0,0,50,0.01,,,,
3,Entry long,16-02-2022 19:30,19:30,BUY,1860,1,1860,30,1.61,40,2.15,0,0,50,0.01,,,,
4,Exit long,21-02-2022 11:30,11:30,Opposite Candle Close,1890,1,1900,-10,-0.53,0,0,-10,-0.53,40,0,,,,
4,Entry long,21-02-2022 04:30,04:30,BUY,1900,1,1900,-10,-0.53,0,0,-10,-0.53,40,0,,,,
5,Exit long,22-02-2022 13:30,13:30,Opposite Candle Close,1900,1,1900,0,0,10,0.53,0,0,40,0,,,,
5,Entry long,21-02-2022 23:30,23:30,BUY,1900,1,1900,0,0,10,0.53,0,0,40,0,,,,
6,Exit long,24-02-2022 18:30,18:30,Opposite Candle Close,1960,1,1905,55,2.89,65,3.41,0,0,95,0.01,,,,
6,Entry long,23-02-2022 19:30,19:30,BUY,1905,1,1905,55,2.89,65,3.41,0,0,95,0.01,,,,
7,Exit long,28-02-2022 21:30,21:30,Opposite Candle Close,1905,1,1910,-5,-0.26,5,0.26,-5,-0.26,90,0.01,,,,
7,Entry long,28-02-2022 17:30,17:30,BUY,1910,1,1910,-5,-0.26,5,0.26,-5,-0.26,90,0.01,,,,
8,Exit long,04-03-2022 06:30,06:30,Opposite Candle Close,1935,1,1930,5,0.26,15,0.78,0,0,95,0.01,,,,
8,Entry long,03-03-2022 06:30,06:30,BUY,1930,1,1930,5,0.26,15,0.78,0,0,95,0.01,,,,
9,Exit long,07-03-2022 10:30,10:30,Opposite Candle Close,1985,1,1945,40,2.06,50,2.57,0,0,135,0.01,,,,
9,Entry long,04-03-2022 14:30,14:30,BUY,1945,1,1945,40,2.06,50,2.57,0,0,135,0.01,,,,
10,Exit long,07-03-2022 17:30,17:30,Opposite Candle Close,1990,1,1995,-5,-0.25,5,0.25,-5,-0.25,130,0.01,,,,
10,Entry long,07-03-2022 13:30,13:30,BUY,1995,1,1995,-5,-0.25,5,0.25,-5,-0.25,130,0.01,,,,
11,Exit long,08-03-2022 22:30,22:30,Opposite Candle Close,2055,1,1990,65,3.27,75,3.77,0,0,195,0.02,,,,
11,Entry long,07-03-2022 23:30,23:30,BUY,1990,1,1990,65,3.27,75,3.77,0,0,195,0.02,,,,
12,Exit long,09-03-2022 05:30,05:30,Opposite Candle Close,2040,1,2040,0,0,10,0.49,0,0,195,0.02,,,,
12,Entry long,08-03-2022 23:30,23:30,BUY,2040,1,2040,0,0,10,0.49,0,0,195,0.02,,,,
13,Exit long,09-03-2022 13:30,13:30,Opposite Candle Close,2045,1,2050,-5,-0.24,5,0.24,-5,-0.24,190,0.02,,,,
13,Entry long,09-03-2022 07:30,07:30,BUY,2050,1,2050,-5,-0.24,5,0.24,-5,-0.24,190,0.02,,,,
14,Exit short,10-03-2022 14:30,14:30,Opposite Candle Close,1985,1,1990,5,0.25,15,0.75,0,0,195,0.02,,,,
14,Entry short,09-03-2022 22:30,22:30,SELL,1990,1,1990,5,0.25,15,0.75,0,0,195,0.02,,,,
15,Exit short,11-03-2022 19:30,19:30,Opposite Candle Close,1975,1,1995,20,1,30,1.5,0,0,215,0.02,,,,
15,Entry short,11-03-2022 05:30,05:30,SELL,1995,1,1995,20,1,30,1.5,0,0,215,0.02,,,,
16,Exit short,17-03-2022 00:30,00:30,Opposite Candle Close,1920,1,1975,55,2.78,65,3.29,0,0,270,0.03,,,,
16,Entry short,14-03-2022 04:30,04:30,SELL,1975,1,1975,55,2.78,65,3.29,0,0,270,0.03,,,,
17,Exit short,21-03-2022 19:30,19:30,Opposite Candle Close,1930,1,1935,5,0.26,15,0.78,0,0,275,0.03,,,,
17,Entry short,18-03-2022 07:30,07:30,SELL,1935,1,1935,5,0.26,15,0.78,0,0,275,0.03,,,,
18,Exit short,23-03-2022 15:30,15:30,Opposite Candle Close,1930,1,1925,-5,-0.26,5,0.26,-5,-0.26,270,0.03,,,,
18,Entry short,22-03-2022 13:30,13:30,SELL,1925,1,1925,-5,-0.26,5,0.26,-5,-0.26,270,0.03,,,,
19,Exit short,31-03-2022 18:30,18:30,Opposite Candle Close,1935,1,1925,-10,-0.52,0,0,-10,-0.52,260,0.03,,,,
19,Entry short,31-03-2022 09:30,09:30,SELL,1925,1,1925,-10,-0.52,0,0,-10,-0.52,260,0.03,,,,
